stock_code,cost,volume
301308.SZ,0.0,0
603986.SH,256.95,200
002920.SZ,138.52,400
002555.SZ,29.28,2200
601919.SH,14.79,3600
601857.SH,9.82,5000
601788.SH,17.88,3200
600887.SH,27.47,1800
601898.SH,13.52,3800
600886.SH,13.25,3800
600900.SH,27.3,1800
688981.SH,127.52,400
688126.SH,23.5,2400
002371.SZ,504.63,200
002202.SZ,26.089799999999997,700
601633.SH,22.1,2200
300750.SZ,357.86,200
002594.SZ,97.03,600
601601.SH,45.68,1200
601600.SH,13.72,4400
600941.SH,0.0,0
601988.SH,5.47,10000
600050.SH,5.48,9200
601360.SH,0.0,0
